===2023-08-05 09:38:02===
===Setting===
    dataset: officehome
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[21,27,35,45,58,75,97,126,163,210,30,45,68,101,152,61,122,85,
client_nums=[10,5,2,1,]
len_dataset=[1435,664,307,142,]
domain number = 4
============ Train epoch 0 ============
 Site-Art                           | Train Loss: 3.6917 | Train Acc: 0.6190
 Site-Art                           | Val  Loss: 1.1313 | Val  Acc: 0.7778
 Site-Art                           | Val  Loss: 1.1700 | Val  Acc: 0.8000
 Site-RealWorld                     | Val  Loss: 0.6455 | Val  Acc: 0.9500
 Site-RealWorld                     | Val  Loss: 0.8174 | Val  Acc: 0.9333
 Site-RealWorld                     | Val  Loss: 1.3114 | Val  Acc: 0.7778
 Site-RealWorld                     | Val  Loss: 0.7054 | Val  Acc: 0.7761
 Site-RealWorld                     | Val  Loss: 0.9694 | Val  Acc: 0.8713
 Site-Clipart                       | Val  Loss: 1.9929 | Val  Acc: 0.5500
 Site-Clipart                       | Val  Loss: 1.8520 | Val  Acc: 0.5309
 Site-Product                       | Val  Loss: 1.1932 | Val  Acc: 0.7679
Average Valid Accuracy: 0.7768
 Best site-Art                       | Epoch:11 | Val Acc: 0.7857
 Best site-Art                       | Epoch:11 | Val Acc: 0.6667
 Best site-Art                       | Epoch:11 | Val Acc: 0.7391
 Best site-Art                       | Epoch:11 | Val Acc: 0.9000
 Best site-Art                       | Epoch:11 | Val Acc: 0.7179
 Best site-Art                       | Epoch:11 | Val Acc: 0.8400
 Best site-Art                       | Epoch:11 | Val Acc: 0.8000
 Best site-Art                       | Epoch:11 | Val Acc: 0.7976
 Best site-Art                       | Epoch:11 | Val Acc: 0.7778
 Best site-Art                       | Epoch:11 | Val Acc: 0.8000
 Best site-RealWorld                 | Epoch:11 | Val Acc: 0.9500
 Best site-RealWorld                 | Epoch:11 | Val Acc: 0.9333
 Best site-RealWorld                 | Epoch:11 | Val Acc: 0.7778
 Best site-RealWorld                 | Epoch:11 | Val Acc: 0.7761
 Best site-RealWorld                 | Epoch:11 | Val Acc: 0.8713
 Best site-Clipart                   | Epoch:11 | Val Acc: 0.5500
 Best site-Clipart                   | Epoch:11 | Val Acc: 0.5309
 Best site-Product                   | Epoch:11 | Val Acc: 0.7679
 Saving the local and server checkpoint to ../checkpoint/fed_officehome_uneven_2.16_1/harmo-fl...
============ Train epoch 12 ============
 Site-Art                           | Train Loss: 1.1954 | Train Acc: 0.8095
 Site-Art                           | Train Loss: 1.3273 | Train Acc: 0.8148
 Site-Art                           | Train Loss: 1.2882 | Train Acc: 0.7143
 Site-Art                           | Train Loss: 1.3068 | Train Acc: 0.8000
 Site-Art                           | Train Loss: 1.1929 | Train Acc: 0.7586
 Site-Art                           | Train Loss: 1.0620 | Train Acc: 0.8000
 Site-Art                           | Train Loss: 1.0794 | Train Acc: 0.8144
 Site-Art                           | Train Loss: 1.0615 | Train Acc: 0.8254
 Site-Art                           | Train Loss: 1.1943 | Train Acc: 0.8037
 Site-Art                           | Train Loss: 0.7821 | Train Acc: 0.9286
 Site-RealWorld                     | Train Loss: 0.9223 | Train Acc: 0.9000
 Site-RealWorld                     | Train Loss: 0.8444 | Train Acc: 0.9333
 Site-RealWorld                     | Train Loss: 0.9112 | Train Acc: 0.7647
 Site-RealWorld                     | Train Loss: 1.1344 | Train Acc: 0.8416
 Site-RealWorld                     | Train Loss: 0.7699 | Train Acc: 0.8816
 Site-Clipart                       | Train Loss: 1.5674 | Train Acc: 0.6557
 Site-Clipart                       | Train Loss: 1.9070 | Train Acc: 0.5902
 Site-Product                       | Train Loss: 1.2157 | Train Acc: 0.8353
Average Train Accuracy: 0.8040
 Site-Art                           | Val  Loss: 1.6713 | Val  Acc: 0.6429
 Site-Art                           | Val  Loss: 1.6352 | Val  Acc: 0.5556
 Site-Art                           | Val  Loss: 0.8957 | Val  Acc: 0.8261
 Site-Art                           | Val  Loss: 0.8996 | Val  Acc: 0.9333
 Site-Art                           | Val  Loss: 1.3339 | Val  Acc: 0.7692
 Site-Art                           | Val  Loss: 1.0519 | Val  Acc: 0.8600
 Site-Art                           | Val  Loss: 1.5413 | Val  Acc: 0.8308
 Site-Art                           | Val  Loss: 1.1344 | Val  Acc: 0.7619
 Site-Art                           | Val  Loss: 1.0270 | Val  Acc: 0.8333
 Site-Art                           | Val  Loss: 1.0854 | Val  Acc: 0.8286
 Site-RealWorld                     | Val  Loss: 0.6447 | Val  Acc: 0.9500
 Site-RealWorld                     | Val  Loss: 0.7101 | Val  Acc: 0.9333
 Site-RealWorld                     | Val  Loss: 1.2016 | Val  Acc: 0.8444
 Site-RealWorld                     | Val  Loss: 0.7124 | Val  Acc: 0.8060
 Site-RealWorld                     | Val  Loss: 0.9064 | Val  Acc: 0.8515
 Site-Clipart                       | Val  Loss: 1.8971 | Val  Acc: 0.5750
 Site-Clipart                       | Val  Loss: 1.8005 | Val  Acc: 0.5926
 Site-Product                       | Val  Loss: 1.1467 | Val  Acc: 0.8036
Average Valid Accuracy: 0.7888
 Best site-Art                       | Epoch:12 | Val Acc: 0.6429
 Best site-Art                       | Epoch:12 | Val Acc: 0.5556
 Best site-Art                       | Epoch:12 | Val Acc: 0.8261
 Best site-Art                       | Epoch:12 | Val Acc: 0.9333
 Best site-Art                       | Epoch:12 | Val Acc: 0.7692
 Best site-Art                       | Epoch:12 | Val Acc: 0.8600
 Best site-Art                       | Epoch:12 | Val Acc: 0.8308
 Best site-Art                       | Epoch:12 | Val Acc: 0.7619
 Best site-Art                       | Epoch:12 | Val Acc: 0.8333
 Best site-Art                       | Epoch:12 | Val Acc: 0.8286
 Best site-RealWorld                 | Epoch:12 | Val Acc: 0.9500
 Best site-RealWorld                 | Epoch:12 | Val Acc: 0.9333
 Best site-RealWorld                 | Epoch:12 | Val Acc: 0.8444
 Best site-RealWorld                 | Epoch:12 | Val Acc: 0.8060
 Best site-RealWorld                 | Epoch:12 | Val Acc: 0.8515
 Best site-Clipart                   | Epoch:12 | Val Acc: 0.5750
 Best site-Clipart                   | Epoch:12 | Val Acc: 0.5926
 Best site-Product                   | Epoch:12 | Val Acc: 0.8036
 Saving the local and server checkpoint to ../checkpoint/fed_officehome_uneven_2.16_1/harmo-fl...
============ Train epoch 13 ============
 Site-Art                           | Train Loss: 1.3081 | Train Acc: 0.7619
 Site-Art                           | Train Loss: 1.1534 | Train Acc: 0.8148
 Site-Art                           | Train Loss: 1.2023 | Train Acc: 0.8286
 Site-Art                           | Train Loss: 1.2481 | Train Acc: 0.8000
 Site-Art                           | Train Loss: 1.2015 | Train Acc: 0.7414
 Site-Art                           | Train Loss: 1.0085 | Train Acc: 0.8000
 Site-Art                           | Train Loss: 0.9191 | Train Acc: 0.8454
 Site-Art                           | Train Loss: 1.0096 | Train Acc: 0.8254
 Site-Art                           | Train Loss: 1.0837 | Train Acc: 0.8098
 Site-Art                           | Train Loss: 0.7508 | Train Acc: 0.9095
 Site-RealWorld                     | Train Loss: 0.8061 | Train Acc: 0.9333
 Site-RealWorld                     | Train Loss: 0.7763 | Train Acc: 0.9333
 Site-RealWorld                     | Train Loss: 0.6542 | Train Acc: 0.8088
 Site-RealWorld                     | Train Loss: 1.0570 | Train Acc: 0.8218
 Site-RealWorld                     | Train Loss: 0.7888 | Train Acc: 0.9013
 Site-Clipart                       | Train Loss: 1.4985 | Train Acc: 0.6393
 Site-Clipart                       | Train Loss: 1.7691 | Train Acc: 0.6230
 Site-Product                       | Train Loss: 1.0953 | Train Acc: 0.8000
Average Train Accuracy: 0.8110
 Site-Art                           | Val  Loss: 1.4654 | Val  Acc: 0.7143
 Site-Art                           | Val  Loss: 1.6128 | Val  Acc: 0.6667
 Site-Art                           | Val  Loss: 0.8412 | Val  Acc: 0.8696
 Site-Art                           | Val  Loss: 1.0236 | Val  Acc: 0.8333
 Site-Art                           | Val  Loss: 1.2469 | Val  Acc: 0.7692
 Site-Art                           | Val  Loss: 0.9979 | Val  Acc: 0.8600
 Site-Art                           | Val  Loss: 1.0782 | Val  Acc: 0.8615
 Site-Art                           | Val  Loss: 1.0083 | Val  Acc: 0.8452
 Site-Art                           | Val  Loss: 0.9384 | Val  Acc: 0.8426
 Site-Art                           | Val  Loss: 1.0452 | Val  Acc: 0.8357
 Site-RealWorld                     | Val  Loss: 0.5111 | Val  Acc: 0.9500
 Site-RealWorld                     | Val  Loss: 0.7438 | Val  Acc: 0.8667
 Site-RealWorld                     | Val  Loss: 1.1083 | Val  Acc: 0.8222
 Site-RealWorld                     | Val  Loss: 0.5870 | Val  Acc: 0.8209
 Site-RealWorld                     | Val  Loss: 0.8790 | Val  Acc: 0.8614
 Site-Clipart                       | Val  Loss: 1.8074 | Val  Acc: 0.5500
 Site-Clipart                       | Val  Loss: 1.8007 | Val  Acc: 0.6173
 Site-Product                       | Val  Loss: 0.9644 | Val  Acc: 0.8393
Average Valid Accuracy: 0.8014
 Best site-Art                       | Epoch:13 | Val Acc: 0.7143
 Best site-Art                       | Epoch:13 | Val Acc: 0.6667
 Best site-Art                       | Epoch:13 | Val Acc: 0.8696
 Best site-Art                       | Epoch:13 | Val Acc: 0.8333
 Best site-Art                       | Epoch:13 | Val Acc: 0.7692
 Best site-Art                       | Epoch:13 | Val Acc: 0.8600
 Best site-Art                       | Epoch:13 | Val Acc: 0.8615
 Best site-Art                       | Epoch:13 | Val Acc: 0.8452
 Best site-Art                       | Epoch:13 | Val Acc: 0.8426
 Best site-Art                       | Epoch:13 | Val Acc: 0.8357
 Best site-RealWorld                 | Epoch:13 | Val Acc: 0.9500
 Best site-RealWorld                 | Epoch:13 | Val Acc: 0.8667
 Best site-RealWorld                 | Epoch:13 | Val Acc: 0.8222
 Best site-RealWorld                 | Epoch:13 | Val Acc: 0.8209
 Best site-RealWorld                 | Epoch:13 | Val Acc: 0.8614
 Best site-Clipart                   | Epoch:13 | Val Acc: 0.5500
 Best site-Clipart                   | Epoch:13 | Val Acc: 0.6173
 Best site-Product                   | Epoch:13 | Val Acc: 0.8393
 Saving the local and server checkpoint to ../checkpoint/fed_officehome_uneven_2.16_1/harmo-fl...
============ Train epoch 14 ============
 Site-Art                           | Train Loss: 1.1687 | Train Acc: 0.8095
 Site-Art                           | Train Loss: 1.1922 | Train Acc: 0.8519
 Site-Art                           | Train Loss: 1.1509 | Train Acc: 0.7429
 Site-Art                           | Train Loss: 1.2040 | Train Acc: 0.8000
 Site-Art                           | Train Loss: 1.1856 | Train Acc: 0.7931
 Site-Art                           | Train Loss: 0.8795 | Train Acc: 0.8533
 Site-Art                           | Train Loss: 0.8999 | Train Acc: 0.8454
 Site-Art                           | Train Loss: 0.9366 | Train Acc: 0.8254
 Site-Art                           | Train Loss: 1.0267 | Train Acc: 0.8466
 Site-Art                           | Train Loss: 0.6928 | Train Acc: 0.9381
 Site-RealWorld                     | Train Loss: 0.9307 | Train Acc: 0.8000
 Site-RealWorld                     | Train Loss: 0.7465 | Train Acc: 0.9111
 Site-RealWorld                     | Train Loss: 0.5812 | Train Acc: 0.8529
 Site-RealWorld                     | Train Loss: 0.9302 | Train Acc: 0.8218
 Site-RealWorld                     | Train Loss: 0.7312 | Train Acc: 0.8882
 Site-Clipart                       | Train Loss: 1.4893 | Train Acc: 0.6557
 Site-Clipart                       | Train Loss: 1.6724 | Train Acc: 0.5984
 Site-Product                       | Train Loss: 0.9302 | Train Acc: 0.8471
Average Train Accuracy: 0.8156
 Site-Art                           | Val  Loss: 1.4417 | Val  Acc: 0.7143
 Site-Art                           | Val  Loss: 1.4450 | Val  Acc: 0.8333
 Site-Art                           | Val  Loss: 1.0372 | Val  Acc: 0.7391
 Site-Art                           | Val  Loss: 0.6773 | Val  Acc: 0.9667
 Site-Art                           | Val  Loss: 1.1956 | Val  Acc: 0.8205
 Site-Art                           | Val  Loss: 0.9731 | Val  Acc: 0.8400
 Site-Art                           | Val  Loss: 1.2356 | Val  Acc: 0.8462
 Site-Art                           | Val  Loss: 0.9689 | Val  Acc: 0.8333
 Site-Art                           | Val  Loss: 0.9155 | Val  Acc: 0.8426
 Site-Art                           | Val  Loss: 1.0439 | Val  Acc: 0.8000
 Site-RealWorld                     | Val  Loss: 0.4704 | Val  Acc: 0.9500
 Site-RealWorld                     | Val  Loss: 0.6211 | Val  Acc: 0.9333
 Site-RealWorld                     | Val  Loss: 1.0265 | Val  Acc: 0.8222
 Site-RealWorld                     | Val  Loss: 0.5803 | Val  Acc: 0.8209
 Site-RealWorld                     | Val  Loss: 0.8244 | Val  Acc: 0.8515
 Site-Clipart                       | Val  Loss: 1.5742 | Val  Acc: 0.5750
 Site-Clipart                       | Val  Loss: 1.7091 | Val  Acc: 0.6420
 Site-Product                       | Val  Loss: 0.9922 | Val  Acc: 0.8571
Average Valid Accuracy: 0.8160
 Best site-Art                       | Epoch:14 | Val Acc: 0.7143
 Best site-Art                       | Epoch:14 | Val Acc: 0.8333
 Best site-Art                       | Epoch:14 | Val Acc: 0.7391
 Best site-Art                       | Epoch:14 | Val Acc: 0.9667
 Best site-Art                       | Epoch:14 | Val Acc: 0.8205
 Best site-Art                       | Epoch:14 | Val Acc: 0.8400
 Best site-Art                       | Epoch:14 | Val Acc: 0.8462
 Best site-Art                       | Epoch:14 | Val Acc: 0.8333
 Best site-Art                       | Epoch:14 | Val Acc: 0.8426
 Best site-Art                       | Epoch:14 | Val Acc: 0.8000
 Best site-RealWorld                 | Epoch:14 | Val Acc: 0.9500
 Best site-RealWorld                 | Epoch:14 | Val Acc: 0.9333
 Best site-RealWorld                 | Epoch:14 | Val Acc: 0.8222
 Best site-RealWorld                 | Epoch:14 | Val Acc: 0.8209
 Best site-RealWorld                 | Epoch:14 | Val Acc: 0.8515
 Best site-Clipart                   | Epoch:14 | Val Acc: 0.5750
 Best site-Clipart                   | Epoch:14 | Val Acc: 0.6420
 Best site-Product                   | Epoch:14 | Val Acc: 0.8571
 Saving the local and server checkpoint to ../checkpoint/fed_officehome_uneven_2.16_1/harmo-fl...
============ Train epoch 15 ============
 Site-Art                           | Train Loss: 1.0125 | Train Acc: 0.8095
 Site-Art                           | Train Loss: 0.9952 | Train Acc: 0.8148
 Site-Art                           | Train Loss: 1.1328 | Train Acc: 0.7714
 Site-Art                           | Train Loss: 1.1650 | Train Acc: 0.8222
 Site-Art                           | Train Loss: 1.0696 | Train Acc: 0.7586
 Site-Art                           | Train Loss: 1.0317 | Train Acc: 0.7867
 Site-Art                           | Train Loss: 0.8590 | Train Acc: 0.8351
 Site-Art                           | Train Loss: 0.9556 | Train Acc: 0.8254
 Site-Art                           | Train Loss: 1.0148 | Train Acc: 0.8344
 Site-Art                           | Train Loss: 0.6084 | Train Acc: 0.9524
 Site-RealWorld                     | Train Loss: 0.8262 | Train Acc: 0.8667
 Site-RealWorld                     | Train Loss: 0.6915 | Train Acc: 0.8889
 Site-RealWorld                     | Train Loss: 0.7577 | Train Acc: 0.8235
 Site-RealWorld                     | Train Loss: 0.9328 | Train Acc: 0.8416
 Site-RealWorld                     | Train Loss: 0.6766 | Train Acc: 0.9145
 Site-Clipart                       | Train Loss: 1.4696 | Train Acc: 0.6885
 Site-Clipart                       | Train Loss: 1.7114 | Train Acc: 0.6475
 Site-Product                       | Train Loss: 1.0974 | Train Acc: 0.8706
Average Train Accuracy: 0.8196
 Site-Art                           | Val  Loss: 1.1974 | Val  Acc: 0.7857
 Site-Art                           | Val  Loss: 1.3871 | Val  Acc: 0.7222
 Site-Art                           | Val  Loss: 0.7543 | Val  Acc: 0.9130
 Site-Art                           | Val  Loss: 0.7406 | Val  Acc: 0.9333
 Site-Art                           | Val  Loss: 1.1570 | Val  Acc: 0.7692
 Site-Art                           | Val  Loss: 0.8574 | Val  Acc: 0.8800
 Site-Art                           | Val  Loss: 0.7481 | Val  Acc: 0.8462
 Site-Art                           | Val  Loss: 0.9933 | Val  Acc: 0.8571
 Site-Art                           | Val  Loss: 0.8724 | Val  Acc: 0.8148
 Site-Art                           | Val  Loss: 0.9810 | Val  Acc: 0.8143
 Site-RealWorld                     | Val  Loss: 0.4194 | Val  Acc: 0.9500
 Site-RealWorld                     | Val  Loss: 0.6829 | Val  Acc: 0.9000
 Site-RealWorld                     | Val  Loss: 0.9897 | Val  Acc: 0.8000
 Site-RealWorld                     | Val  Loss: 0.4960 | Val  Acc: 0.8507
 Site-RealWorld                     | Val  Loss: 0.7389 | Val  Acc: 0.8515
 Site-Clipart                       | Val  Loss: 1.6773 | Val  Acc: 0.6250
 Site-Clipart                       | Val  Loss: 1.6016 | Val  Acc: 0.6543
 Site-Product                       | Val  Loss: 0.8773 | Val  Acc: 0.8750
Average Valid Accuracy: 0.8246
 Best site-Art                       | Epoch:15 | Val Acc: 0.7857
 Best site-Art                       | Epoch:15 | Val Acc: 0.7222
 Best site-Art                       | Epoch:15 | Val Acc: 0.9130
 Best site-Art                       | Epoch:15 | Val Acc: 0.9333
 Best site-Art                       | Epoch:15 | Val Acc: 0.7692
 Best site-Art                       | Epoch:15 | Val Acc: 0.8800
 Best site-Art                       | Epoch:15 | Val Acc: 0.8462
 Best site-Art                       | Epoch:15 | Val Acc: 0.8571
 Best site-Art                       | Epoch:15 | Val Acc: 0.8148
 Best site-Art                       | Epoch:15 | Val Acc: 0.8143
 Best site-RealWorld                 | Epoch:15 | Val Acc: 0.9500
 Best site-RealWorld                 | Epoch:15 | Val Acc: 0.9000
 Best site-RealWorld                 | Epoch:15 | Val Acc: 0.8000
 Best site-RealWorld                 | Epoch:15 | Val Acc: 0.8507
 Best site-RealWorld                 | Epoch:15 | Val Acc: 0.8515
 Best site-Clipart                   | Epoch:15 | Val Acc: 0.6250
 Best site-Clipart                   | Epoch:15 | Val Acc: 0.6543
 Best site-Product                   | Epoch:15 | Val Acc: 0.8750
 Saving the local and server checkpoint to ../checkpoint/fed_officehome_uneven_2.16_1/harmo-fl...
============ Train epoch 16 ============
 Site-Art                           | Train Loss: 1.2887 | Train Acc: 0.8571
 Site-Art                           | Train Loss: 1.1064 | Train Acc: 0.8148
 Site-Art                           | Train Loss: 1.0614 | Train Acc: 0.7714
 Site-Art                           | Train Loss: 1.1249 | Train Acc: 0.7778
 Site-Art                           | Train Loss: 1.0607 | Train Acc: 0.7759
 Site-Art                           | Train Loss: 0.8451 | Train Acc: 0.8267
 Site-Art                           | Train Loss: 0.7656 | Train Acc: 0.8557
 Site-Art                           | Train Loss: 0.7957 | Train Acc: 0.8810
 Site-Art                           | Train Loss: 0.9516 | Train Acc: 0.8344
 Site-Art                           | Train Loss: 0.5550 | Train Acc: 0.9429
 Site-RealWorld                     | Train Loss: 0.6775 | Train Acc: 0.9000
 Site-RealWorld                     | Train Loss: 0.6772 | Train Acc: 0.9333
 Site-RealWorld                     | Train Loss: 0.6292 | Train Acc: 0.8235
 Site-RealWorld                     | Train Loss: 0.8538 | Train Acc: 0.8416
 Site-RealWorld                     | Train Loss: 0.6792 | Train Acc: 0.9145
 Site-Clipart                       | Train Loss: 1.3298 | Train Acc: 0.7213
 Site-Clipart                       | Train Loss: 1.5123 | Train Acc: 0.6721
 Site-Product                       | Train Loss: 1.0324 | Train Acc: 0.8118
Average Train Accuracy: 0.8309
 Site-Art                           | Val  Loss: 1.2272 | Val  Acc: 0.8571
 Site-Art                           | Val  Loss: 1.4957 | Val  Acc: 0.7778
 Site-Art                           | Val  Loss: 0.8838 | Val  Acc: 0.8261
 Site-Art                           | Val  Loss: 0.8002 | Val  Acc: 0.8000
 Site-Art                           | Val  Loss: 1.0683 | Val  Acc: 0.8718
 Site-Art                           | Val  Loss: 0.8716 | Val  Acc: 0.9000
 Site-Art                           | Val  Loss: 1.3433 | Val  Acc: 0.8462
 Site-Art                           | Val  Loss: 0.8987 | Val  Acc: 0.8571
 Site-Art                           | Val  Loss: 0.8871 | Val  Acc: 0.8426
 Site-Art                           | Val  Loss: 0.9475 | Val  Acc: 0.8357
 Site-RealWorld                     | Val  Loss: 0.4118 | Val  Acc: 0.9000
 Site-RealWorld                     | Val  Loss: 0.6113 | Val  Acc: 0.9000
 Site-RealWorld                     | Val  Loss: 0.8534 | Val  Acc: 0.8667
 Site-RealWorld                     | Val  Loss: 0.4635 | Val  Acc: 0.8657
 Site-RealWorld                     | Val  Loss: 0.6771 | Val  Acc: 0.8614
 Site-Clipart                       | Val  Loss: 1.4804 | Val  Acc: 0.6500
 Site-Clipart                       | Val  Loss: 1.5890 | Val  Acc: 0.5802
 Site-Product                       | Val  Loss: 0.9738 | Val  Acc: 0.8393
Average Valid Accuracy: 0.8265
 Best site-Art                       | Epoch:16 | Val Acc: 0.8571
 Best site-Art                       | Epoch:16 | Val Acc: 0.7778
 Best site-Art                       | Epoch:16 | Val Acc: 0.8261
 Best site-Art                       | Epoch:16 | Val Acc: 0.8000
 Best site-Art                       | Epoch:16 | Val Acc: 0.8718
 Best site-Art                       | Epoch:16 | Val Acc: 0.9000
 Best site-Art                       | Epoch:16 | Val Acc: 0.8462
 Best site-Art                       | Epoch:16 | Val Acc: 0.8571
 Best site-Art                       | Epoch:16 | Val Acc: 0.8426
 Best site-Art                       | Epoch:16 | Val Acc: 0.8357
 Best site-RealWorld                 | Epoch:16 | Val Acc: 0.9000
 Best site-RealWorld                 | Epoch:16 | Val Acc: 0.9000
 Best site-RealWorld                 | Epoch:16 | Val Acc: 0.8667
 Best site-RealWorld                 | Epoch:16 | Val Acc: 0.8657
 Best site-RealWorld                 | Epoch:16 | Val Acc: 0.8614
 Best site-Clipart                   | Epoch:16 | Val Acc: 0.6500
 Best site-Clipart                   | Epoch:16 | Val Acc: 0.5802
 Best site-Product                   | Epoch:16 | Val Acc: 0.8393
 Saving the local and server checkpoint to ../checkpoint/fed_officehome_uneven_2.16_1/harmo-fl...
============ Train epoch 17 ============
 Site-Art                           | Train Loss: 1.1262 | Train Acc: 0.7619
 Site-Art                           | Train Loss: 1.0248 | Train Acc: 0.8148
 Site-Art                           | Train Loss: 1.2087 | Train Acc: 0.7143
 Site-Art                           | Train Loss: 1.1838 | Train Acc: 0.7778
 Site-Art                           | Train Loss: 1.1053 | Train Acc: 0.7759
 Site-Art                           | Train Loss: 1.1365 | Train Acc: 0.8267
 Site-Art                           | Train Loss: 0.6847 | Train Acc: 0.8454
 Site-Art                           | Train Loss: 0.8781 | Train Acc: 0.8333
 Site-Art                           | Train Loss: 0.8824 | Train Acc: 0.8344
 Site-Art                           | Train Loss: 0.4773 | Train Acc: 0.9524
 Site-RealWorld                     | Train Loss: 0.6435 | Train Acc: 0.8667
 Site-RealWorld                     | Train Loss: 0.6269 | Train Acc: 0.9111
 Site-RealWorld                     | Train Loss: 0.9754 | Train Acc: 0.8235
 Site-RealWorld                     | Train Loss: 0.8216 | Train Acc: 0.8713
 Site-RealWorld                     | Train Loss: 0.6009 | Train Acc: 0.9145
 Site-Clipart                       | Train Loss: 1.3445 | Train Acc: 0.6721
 Site-Clipart                       | Train Loss: 1.5523 | Train Acc: 0.6557
 Site-Product                       | Train Loss: 0.8065 | Train Acc: 0.8824
Average Train Accuracy: 0.8186
 Site-Art                           | Val  Loss: 1.0533 | Val  Acc: 0.7857
 Site-Art                           | Val  Loss: 1.2088 | Val  Acc: 0.8333
 Site-Art                           | Val  Loss: 0.7098 | Val  Acc: 0.8696
 Site-Art                           | Val  Loss: 0.6653 | Val  Acc: 0.9000
 Site-Art                           | Val  Loss: 1.0972 | Val  Acc: 0.7436
 Site-Art                           | Val  Loss: 0.8336 | Val  Acc: 0.8800
 Site-Art                           | Val  Loss: 1.2004 | Val  Acc: 0.8615
 Site-Art                           | Val  Loss: 0.8727 | Val  Acc: 0.8214
 Site-Art                           | Val  Loss: 0.8089 | Val  Acc: 0.8611
 Site-Art                           | Val  Loss: 0.9313 | Val  Acc: 0.8071
 Site-RealWorld                     | Val  Loss: 0.4196 | Val  Acc: 0.9000
 Site-RealWorld                     | Val  Loss: 0.5547 | Val  Acc: 0.9333
 Site-RealWorld                     | Val  Loss: 0.9102 | Val  Acc: 0.8222
 Site-RealWorld                     | Val  Loss: 0.4967 | Val  Acc: 0.8657
 Site-RealWorld                     | Val  Loss: 0.7270 | Val  Acc: 0.8416
 Site-Clipart                       | Val  Loss: 1.5475 | Val  Acc: 0.7000
 Site-Clipart                       | Val  Loss: 1.6059 | Val  Acc: 0.6543
 Site-Product                       | Val  Loss: 0.8482 | Val  Acc: 0.8571
Average Valid Accuracy: 0.8299
 Best site-Art                       | Epoch:17 | Val Acc: 0.7857
 Best site-Art                       | Epoch:17 | Val Acc: 0.8333
 Best site-Art                       | Epoch:17 | Val Acc: 0.8696
 Best site-Art                       | Epoch:17 | Val Acc: 0.9000
 Best site-Art                       | Epoch:17 | Val Acc: 0.7436
 Best site-Art                       | Epoch:17 | Val Acc: 0.8800
 Best site-Art                       | Epoch:17 | Val Acc: 0.8615
 Best site-Art                       | Epoch:17 | Val Acc: 0.8214
 Best site-Art                       | Epoch:17 | Val Acc: 0.8611
 Best site-Art                       | Epoch:17 | Val Acc: 0.8071
 Best site-RealWorld                 | Epoch:17 | Val Acc: 0.9000
 Best site-RealWorld                 | Epoch:17 | Val Acc: 0.9333
 Best site-RealWorld                 | Epoch:17 | Val Acc: 0.8222
 Best site-RealWorld                 | Epoch:17 | Val Acc: 0.8657
 Best site-RealWorld                 | Epoch:17 | Val Acc: 0.8416
 Best site-Clipart                   | Epoch:17 | Val Acc: 0.7000
 Best site-Clipart                   | Epoch:17 | Val Acc: 0.6543
 Best site-Product                   | Epoch:17 | Val Acc: 0.8571
 Saving the local and server checkpoint to ../checkpoint/fed_officehome_uneven_2.16_1/harmo-fl...
============ Train epoch 18 ============
 Site-Art                           | Train Loss: 1.1114 | Train Acc: 0.8095
 Site-Art                           | Train Loss: 1.0254 | Train Acc: 0.8519
 Site-Art                           | Train Loss: 1.1023 | Train Acc: 0.8000
 Site-Art                           | Train Loss: 1.1020 | Train Acc: 0.8222
 Site-Art                           | Train Loss: 1.0110 | Train Acc: 0.7414
 Site-Art                           | Train Loss: 0.8503 | Train Acc: 0.8267
 Site-Art                           | Train Loss: 0.7448 | Train Acc: 0.8763
 Site-Art                           | Train Loss: 0.7755 | Train Acc: 0.8810
 Site-Art                           | Train Loss: 0.8783 | Train Acc: 0.8589
 Site-Art                           | Train Loss: 0.4749 | Train Acc: 0.9667
 Site-RealWorld                     | Train Loss: 0.7852 | Train Acc: 0.9000
 Site-RealWorld                     | Train Loss: 0.6850 | Train Acc: 0.8444
 Site-RealWorld                     | Train Loss: 0.4409 | Train Acc: 0.8676
 Site-RealWorld                     | Train Loss: 0.8618 | Train Acc: 0.8416
 Site-RealWorld                     | Train Loss: 0.4997 | Train Acc: 0.9145
 Site-Clipart                       | Train Loss: 1.3878 | Train Acc: 0.6885
 Site-Clipart                       | Train Loss: 1.5657 | Train Acc: 0.6393
 Site-Product                       | Train Loss: 0.8808 | Train Acc: 0.8588
Average Train Accuracy: 0.8327
 Site-Art                           | Val  Loss: 1.1986 | Val  Acc: 0.8571
 Site-Art                           | Val  Loss: 1.3288 | Val  Acc: 0.7222
 Site-Art                           | Val  Loss: 0.7582 | Val  Acc: 0.8696
 Site-Art                           | Val  Loss: 0.5654 | Val  Acc: 0.9000
 Site-Art                           | Val  Loss: 1.0713 | Val  Acc: 0.8205
 Site-Art                           | Val  Loss: 0.7859 | Val  Acc: 0.8600
 Site-Art                           | Val  Loss: 0.8394 | Val  Acc: 0.8769
 Site-Art                           | Val  Loss: 0.8448 | Val  Acc: 0.8571
 Site-Art                           | Val  Loss: 0.7595 | Val  Acc: 0.8611
